time,symbol,open,high,low,close,volume
2026-03-26T17:53:00Z,AMD,205.45,205.45,205.23,205.23,1812
2026-03-26T17:53:00Z,NVDA,172.59,172.61,172.43,172.48,16238
2026-03-26T17:53:00Z,SPY,647.345,647.345,647.225,647.23,3460
2026-03-26T17:54:00Z,AMD,205.14,205.15,205.12,205.12,682
2026-03-26T17:54:00Z,NVDA,172.45,172.52,172.27,172.27,15896
2026-03-26T17:54:00Z,SPY,647.18,647.265,647.09,647.12,653
2026-03-26T17:55:00Z,AMD,205.19,205.19,205.19,205.19,666
2026-03-26T17:55:00Z,NVDA,172.27,172.32,172.24,172.28,14424
2026-03-26T17:55:00Z,SPY,647.07,647.17,646.99,646.99,1056
2026-03-26T17:56:00Z,AMD,205.23,205.23,205.23,205.23,274
2026-03-26T17:56:00Z,NVDA,172.32,172.32,172.18,172.18,31379
2026-03-26T17:56:00Z,SPY,647.0,647.085,646.94,646.975,790
2026-03-26T17:57:00Z,AMD,205.095,205.11,204.91,204.96,1135
2026-03-26T17:57:00Z,NVDA,172.21,172.23,172.13,172.165,16484
2026-03-26T17:57:00Z,SPY,646.985,647.02,646.9,647.02,474
2026-03-26T17:58:00Z,AMD,204.935,204.935,204.8,204.82,1568
2026-03-26T17:58:00Z,NVDA,172.15,172.15,171.95,171.96,29293
2026-03-26T17:58:00Z,SPY,647.045,647.045,646.75,646.75,982
2026-03-26T17:59:00Z,AMD,204.73,205.065,204.72,205.01,1670
2026-03-26T17:59:00Z,NVDA,171.94,171.98,171.84,171.95,30772
2026-03-26T17:59:00Z,SPY,646.685,646.69,646.495,646.68,4418
2026-03-26T18:00:00Z,AMD,205.05,205.59,205.05,205.59,1763
2026-03-26T18:00:00Z,NVDA,171.92,172.25,171.92,172.245,43857
2026-03-26T18:00:00Z,SPY,646.73,647.045,646.73,647.03,5712
2026-03-26T18:01:00Z,AMD,205.605,205.67,205.525,205.67,2822
2026-03-26T18:01:00Z,NVDA,172.22,172.37,172.215,172.335,15745
2026-03-26T18:01:00Z,SPY,647.09,647.315,647.03,647.275,7547
2026-03-26T18:02:00Z,AMD,205.68,205.68,205.55,205.55,1009
2026-03-26T18:02:00Z,NVDA,172.345,172.37,172.24,172.3,15694
2026-03-26T18:02:00Z,SPY,647.295,647.505,647.24,647.445,4377
2026-03-26T18:03:00Z,AMD,205.65,205.665,205.39,205.45,1192
2026-03-26T18:03:00Z,NVDA,172.375,172.5,172.24,172.24,20217
2026-03-26T18:03:00Z,SPY,647.525,647.57,647.125,647.285,6080
2026-03-26T18:04:00Z,AMD,205.445,205.445,205.26,205.26,1752
2026-03-26T18:04:00Z,NVDA,172.28,172.35,172.13,172.16,13063
2026-03-26T18:04:00Z,SPY,647.235,647.27,647.08,647.08,519
2026-03-26T18:05:00Z,AMD,205.5,205.5,205.4,205.4,830
2026-03-26T18:05:00Z,NVDA,172.14,172.24,172.08,172.095,13275
2026-03-26T18:05:00Z,SPY,647.24,647.36,647.24,647.275,615
2026-03-26T18:06:00Z,AMD,205.22,205.37,205.12,205.31,792
2026-03-26T18:06:00Z,NVDA,172.12,172.22,171.99,172.22,16218
2026-03-26T18:06:00Z,SPY,647.31,647.31,647.04,647.14,15932
2026-03-26T18:07:00Z,AMD,205.35,205.43,205.27,205.37,1778
2026-03-26T18:07:00Z,NVDA,172.22,172.235,172.08,172.08,7554
2026-03-26T18:07:00Z,SPY,647.245,647.35,647.185,647.315,971
2026-03-26T18:08:00Z,AMD,205.31,205.62,205.31,205.565,1256
2026-03-26T18:08:00Z,NVDA,172.11,172.29,172.11,172.21,13456
2026-03-26T18:08:00Z,SPY,647.205,647.235,647.205,647.235,332
2026-03-26T18:09:00Z,AMD,205.53,205.735,205.53,205.735,1543
2026-03-26T18:09:00Z,NVDA,172.25,172.26,172.14,172.165,8041
2026-03-26T18:09:00Z,SPY,647.235,647.235,647.235,647.235,44
2026-03-26T18:10:00Z,AMD,205.74,205.965,205.74,205.965,895
2026-03-26T18:10:00Z,NVDA,172.15,172.25,172.12,172.12,22237
2026-03-26T18:10:00Z,SPY,647.295,647.295,647.09,647.09,668
2026-03-26T18:11:00Z,AMD,205.65,205.75,205.65,205.71,765
